Phần,Chương,Số điều,Tiêu đề điều,Nội dung điều,Số khoản,Nội dung khoản,Điểm,Nội dung điểm
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,113,Tội khủng bố nhằm chống chính quyền nhân dân,,1,"Người nào nhằm chống chính quyền nhân dân mà xâm phạm tính mạng của cán bộ, công chức hoặc người khác hoặc phá hủy tài sản của cơ quan, tổ chức, cá nhân, thì bị phạt tù từ 12 năm đến 20 năm, tù chung thân hoặc tử hình.",,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,113,Tội khủng bố nhằm chống chính quyền nhân dân,,2,"Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 10 năm đến 15 năm:",a,"Thành lập, tham gia tổ chức khủng bố, tổ chức tài trợ khủng bố;"
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,113,Tội khủng bố nhằm chống chính quyền nhân dân,,2,"Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 10 năm đến 15 năm:",b,"Cưỡng ép, lôi kéo, tuyển mộ, đào tạo, huấn luyện phần tử khủng bố; chế tạo, cung cấp vũ khí cho phần tử khủng bố;"
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,113,Tội khủng bố nhằm chống chính quyền nhân dân,,2,"Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 10 năm đến 15 năm:",c,"Xâm phạm tự do thân thể, sức khỏe của cán bộ, công chức hoặc người khác; chiếm giữ, làm hư hại tài sản của cơ quan, tổ chức, cá nhân;"
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,113,Tội khủng bố nhằm chống chính quyền nhân dân,,2,"Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 10 năm đến 15 năm:",d,"Tấn công, xâm hại, cản trở, gây rối loạn hoạt động của mạng máy tính, mạng viễn thông, phương tiện điện tử của cơ quan, tổ chức, cá nhân."
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,113,Tội khủng bố nhằm chống chính quyền nhân dân,,3,"Phạm tội trong trường hợp đe dọa thực hiện một trong các hành vi quy định tại khoản 1 Điều này hoặc có hành vi khác uy hiếp tinh thần của cán bộ, công chức hoặc người khác, thì bị phạt tù từ 05 năm đến 10 năm.",,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,113,Tội khủng bố nhằm chống chính quyền nhân dân,,4,"Khủng bố cá nhân, tổ chức nước ngoài hoặc các tổ chức quốc tế nhằm gây khó khăn cho quan hệ quốc tế của nước Cộng hòa xã hội chủ nghĩa Việt Nam, thì cũng bị xử phạt theo Điều này.",,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,113,Tội khủng bố nhằm chống chính quyền nhân dân,,5,"Người chuẩn bị phạm tội này, thì bị phạt tù từ 01 năm đến 05 năm.",,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,114,Tội phá hoại cơ sở vật chất - kỹ thuật của nước Cộng hòa xã hội chủ nghĩa Việt Nam,,1,"Người nào nhằm chống chính quyền nhân dân mà phá hoại cơ sở vật chất - kỹ thuật của nước Cộng hòa xã hội chủ nghĩa Việt Nam trong các lĩnh vực chính trị, quốc phòng, an ninh, kinh tế, khoa học - kỹ thuật, văn hóa, xã hội, thì bị phạt tù từ 12 năm đến 20 năm hoặc tù chung thân.",,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,114,Tội phá hoại cơ sở vật chất - kỹ thuật của nước Cộng hòa xã hội chủ nghĩa Việt Nam,,2,"Phạm tội trong trường hợp ít nghiêm trọng, thì bị phạt tù từ 05 năm đến 15 năm.",,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,114,Tội phá hoại cơ sở vật chất - kỹ thuật của nước Cộng hòa xã hội chủ nghĩa Việt Nam,,3,"Người chuẩn bị phạm tội này, thì bị phạt tù từ 01 năm đến 05 năm.",,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,115,Tội phá hoại việc thực hiện các chính sách kinh tế - xã hội,,1,"Người nào nhằm chống chính quyền nhân dân mà phá hoại việc thực hiện các chính sách kinh tế - xã hội, thì bị phạt tù từ 07 năm đến 15 năm.",,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,115,Tội phá hoại việc thực hiện các chính sách kinh tế - xã hội,,2,"Phạm tội trong trường hợp ít nghiêm trọng, thì bị phạt tù từ 03 năm đến 07 năm.",,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,115,Tội phá hoại việc thực hiện các chính sách kinh tế - xã hội,,3,"Người chuẩn bị phạm tội này, thì bị phạt tù từ 06 tháng đến 03 năm.",,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,116,Tội phá hoại chính sách đoàn kết,,1,"Người nào thực hiện một trong những hành vi sau đây nhằm chống chính quyền nhân dân, thì bị phạt tù từ 07 năm đến 15 năm:",a,"Gây chia rẽ giữa các tầng lớp nhân dân, giữa nhân dân với chính quyền nhân dân, với lực lượng vũ trang nhân dân, với các tổ chức chính trị - xã hội;"
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,116,Tội phá hoại chính sách đoàn kết,,1,"Người nào thực hiện một trong những hành vi sau đây nhằm chống chính quyền nhân dân, thì bị phạt tù từ 07 năm đến 15 năm:",b,"Gây hằn thù, kỳ thị, chia rẽ, ly khai dân tộc, xâm phạm quyền bình đẳng trong cộng đồng các dân tộc Việt Nam;"
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,116,Tội phá hoại chính sách đoàn kết,,1,"Người nào thực hiện một trong những hành vi sau đây nhằm chống chính quyền nhân dân, thì bị phạt tù từ 07 năm đến 15 năm:",c,"Gây chia rẽ người theo tôn giáo với người không theo tôn giáo, giữa người theo các tôn giáo khác nhau, chia rẽ các tín đồ tôn giáo với chính quyền nhân dân, với các tổ chức chính trị - xã hội;"
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,116,Tội phá hoại chính sách đoàn kết,,1,"Người nào thực hiện một trong những hành vi sau đây nhằm chống chính quyền nhân dân, thì bị phạt tù từ 07 năm đến 15 năm:",d,Phá hoại việc thực hiện chính sách đoàn kết quốc tế.
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,116,Tội phá hoại chính sách đoàn kết,,2,"Phạm tội trong trường hợp ít nghiêm trọng, thì bị phạt tù từ 02 năm đến 07 năm.",,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,116,Tội phá hoại chính sách đoàn kết,,3,"Người chuẩn bị phạm tội này, thì bị phạt tù từ 06 tháng đến 03 năm.",,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,117,"Tội làm, tàng trữ, phát tán hoặc tuyên truyền thông tin, tài liệu, vật phẩm nhằm chống Nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam",,1,"Người nào có một trong những hành vi sau đây nhằm chống Nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam, thì bị phạt tù từ 05 năm đến 12 năm:",a,"Làm, tàng trữ, phát tán hoặc tuyên truyền thông tin, tài liệu, vật phẩm có nội dung xuyên tạc, phỉ báng chính quyền nhân dân;"
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,117,"Tội làm, tàng trữ, phát tán hoặc tuyên truyền thông tin, tài liệu, vật phẩm nhằm chống Nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam",,1,"Người nào có một trong những hành vi sau đây nhằm chống Nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam, thì bị phạt tù từ 05 năm đến 12 năm:",b,"Làm, tàng trữ, phát tán hoặc tuyên truyền thông tin, tài liệu, vật phẩm có nội dung bịa đặt, gây hoang mang trong nhân dân;"
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,117,"Tội làm, tàng trữ, phát tán hoặc tuyên truyền thông tin, tài liệu, vật phẩm nhằm chống Nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam",,1,"Người nào có một trong những hành vi sau đây nhằm chống Nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam, thì bị phạt tù từ 05 năm đến 12 năm:",c,"Làm, tàng trữ, phát tán hoặc tuyên truyền thông tin, tài liệu, vật phẩm gây chiến tranh tâm lý."
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,117,"Tội làm, tàng trữ, phát tán hoặc tuyên truyền thông tin, tài liệu, vật phẩm nhằm chống Nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam",,2,"Phạm tội trong trường hợp đặc biệt nghiêm trọng, thì bị phạt tù từ 10 năm đến 20 năm.",,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,117,"Tội làm, tàng trữ, phát tán hoặc tuyên truyền thông tin, tài liệu, vật phẩm nhằm chống Nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam",,3,"Người chuẩn bị phạm tội này, thì bị phạt tù từ 01 năm đến 05 năm.",,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,118,Tội phá rối an ninh,,1,"Người nào nhằm chống chính quyền nhân dân mà kích động, lôi kéo, tụ tập nhiều người phá rối an ninh, chống người thi hành công vụ, cản trở hoạt động của cơ quan, tổ chức, nếu không thuộc trường hợp quy định tại Điều 112 của Bộ luật này, thì bị phạt tù từ 05 năm đến 15 năm.",,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,118,Tội phá rối an ninh,,2,"Người đồng phạm khác, thì bị phạt tù từ 02 năm đến 07 năm.",,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,118,Tội phá rối an ninh,,3,"Người chuẩn bị phạm tội này, thì bị phạt tù từ 06 tháng đến 03 năm.",,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,119,Tội chống phá cơ sở giam giữ,,1,"Người nào nhằm chống chính quyền nhân dân mà phá cơ sở giam giữ, tổ chức trốn khỏi cơ sở giam giữ, đánh tháo người bị giam giữ, người bị áp giải hoặc trốn khỏi cơ sở giam giữ, thì bị phạt tù từ 10 năm đến 20 năm hoặc tù chung thân.",,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,119,Tội chống phá cơ sở giam giữ,,2,"Phạm tội trong trường hợp ít nghiêm trọng, thì bị phạt tù từ 03 năm đến 10 năm.",,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,119,Tội chống phá cơ sở giam giữ,,3,"Người chuẩn bị phạm tội này, thì bị phạt tù từ 01 năm đến 05 năm.",,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,120,"Tội tổ chức, cưỡng ép, xúi giục người khác trốn đi nước ngoài hoặc trốn ở lại nước ngoài nhằm chống chính quyền nhân dân",,1,"Người nào tổ chức, cưỡng ép, xúi giục người khác trốn đi nước ngoài hoặc trốn ở lại nước ngoài nhằm chống chính quyền nhân dân, thì bị phạt tù từ 05 năm đến 15 năm.",,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,120,"Tội tổ chức, cưỡng ép, xúi giục người khác trốn đi nước ngoài hoặc trốn ở lại nước ngoài nhằm chống chính quyền nhân dân",,2,"Phạm tội trong trường hợp đặc biệt nghiêm trọng, thì bị phạt tù từ 12 năm đến 20 năm hoặc tù chung thân.",,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,120,"Tội tổ chức, cưỡng ép, xúi giục người khác trốn đi nước ngoài hoặc trốn ở lại nước ngoài nhằm chống chính quyền nhân dân",,3,"Người chuẩn bị phạm tội này, thì bị phạt tù từ 01 năm đến 05 năm.",,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,121,Tội trốn đi nước ngoài hoặc trốn ở lại nước ngoài nhằm chống chính quyền nhân dân,,1,"Người nào trốn đi nước ngoài hoặc trốn ở lại nước ngoài nhằm chống chính quyền nhân dân, thì bị phạt tù từ 03 năm đến 12 năm.",,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,121,Tội trốn đi nước ngoài hoặc trốn ở lại nước ngoài nhằm chống chính quyền nhân dân,,2,"Phạm tội trong trường hợp đặc biệt nghiêm trọng, thì bị phạt tù từ 12 năm đến 20 năm.",,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,121,Tội trốn đi nước ngoài hoặc trốn ở lại nước ngoài nhằm chống chính quyền nhân dân,,3,"Người chuẩn bị phạm tội này, thì bị phạt tù từ 01 năm đến 05 năm.",,
Phần thứ hai - CÁC TỘI PHẠM,Chương XIII - CÁC TỘI XÂM PHẠM AN NINH QUỐC GIA,122,Hình phạt bổ sung,"Người phạm tội quy định tại Chương này còn có thể bị tước một số quyền công dân, phạt quản chế, cấm cư trú từ 01 năm đến 05 năm hoặc tịch thu một phần hoặc toàn bộ tài sản.",,,,
Phần thứ hai - CÁC TỘI PHẠM,"Chương XIV - CÁC TỘI XÂM PHẠM TÍNH MẠNG, SỨC KHỎE, NHÂN PHẨM,",123,Tội giết người,,1,"Người nào giết người thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 12 năm đến 20 năm, tù chung thân hoặc tử hình:",a,Giết 02 người trở lên;
Phần thứ hai - CÁC TỘI PHẠM,"Chương XIV - CÁC TỘI XÂM PHẠM TÍNH MẠNG, SỨC KHỎE, NHÂN PHẨM,",123,Tội giết người,,1,"Người nào giết người thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 12 năm đến 20 năm, tù chung thân hoặc tử hình:",b,Giết người dưới 16 tuổi;
Phần thứ hai - CÁC TỘI PHẠM,"Chương XIV - CÁC TỘI XÂM PHẠM TÍNH MẠNG, SỨC KHỎE, NHÂN PHẨM,",123,Tội giết người,,1,"Người nào giết người thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 12 năm đến 20 năm, tù chung thân hoặc tử hình:",c,Giết phụ nữ mà biết là có thai;
Phần thứ hai - CÁC TỘI PHẠM,"Chương XIV - CÁC TỘI XÂM PHẠM TÍNH MẠNG, SỨC KHỎE, NHÂN PHẨM,",123,Tội giết người,,1,"Người nào giết người thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 12 năm đến 20 năm, tù chung thân hoặc tử hình:",d,Giết người đang thi hành công vụ hoặc vì lý do công vụ của nạn nhân;
Phần thứ hai - CÁC TỘI PHẠM,"Chương XIV - CÁC TỘI XÂM PHẠM TÍNH MẠNG, SỨC KHỎE, NHÂN PHẨM,",123,Tội giết người,,1,"Người nào giết người thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 12 năm đến 20 năm, tù chung thân hoặc tử hình:",đ,"Giết ông, bà, cha, mẹ, người nuôi dưỡng, thầy giáo, cô giáo của mình;"
Phần thứ hai - CÁC TỘI PHẠM,"Chương XIV - CÁC TỘI XÂM PHẠM TÍNH MẠNG, SỨC KHỎE, NHÂN PHẨM,",123,Tội giết người,,1,"Người nào giết người thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 12 năm đến 20 năm, tù chung thân hoặc tử hình:",e,Giết người mà liền trước đó hoặc ngay sau đó lại thực hiện một tội phạm rất nghiêm trọng hoặc tội phạm đặc biệt nghiêm trọng;
Phần thứ hai - CÁC TỘI PHẠM,"Chương XIV - CÁC TỘI XÂM PHẠM TÍNH MẠNG, SỨC KHỎE, NHÂN PHẨM,",123,Tội giết người,,1,"Người nào giết người thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 12 năm đến 20 năm, tù chung thân hoặc tử hình:",g,Để thực hiện hoặc che giấu tội phạm khác;
Phần thứ hai - CÁC TỘI PHẠM,"Chương XIV - CÁC TỘI XÂM PHẠM TÍNH MẠNG, SỨC KHỎE, NHÂN PHẨM,",123,Tội giết người,,1,"Người nào giết người thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 12 năm đến 20 năm, tù chung thân hoặc tử hình:",h,Để lấy bộ phận cơ thể của nạn nhân;
Phần thứ hai - CÁC TỘI PHẠM,"Chương XIV - CÁC TỘI XÂM PHẠM TÍNH MẠNG, SỨC KHỎE, NHÂN PHẨM,",123,Tội giết người,,1,"Người nào giết người thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 12 năm đến 20 năm, tù chung thân hoặc tử hình:",i,Thực hiện tội phạm một cách man rợ;
Phần thứ hai - CÁC TỘI PHẠM,"Chương XIV - CÁC TỘI XÂM PHẠM TÍNH MẠNG, SỨC KHỎE, NHÂN PHẨM,",123,Tội giết người,,1,"Người nào giết người thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 12 năm đến 20 năm, tù chung thân hoặc tử hình:",k,Bằng cách lợi dụng nghề nghiệp;
Phần thứ hai - CÁC TỘI PHẠM,"Chương XIV - CÁC TỘI XÂM PHẠM TÍNH MẠNG, SỨC KHỎE, NHÂN PHẨM,",123,Tội giết người,,1,"Người nào giết người thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 12 năm đến 20 năm, tù chung thân hoặc tử hình:",l,Bằng phương pháp có khả năng làm chết nhiều người;
Phần thứ hai - CÁC TỘI PHẠM,"Chương XIV - CÁC TỘI XÂM PHẠM TÍNH MẠNG, SỨC KHỎE, NHÂN PHẨM,",123,Tội giết người,,1,"Người nào giết người thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 12 năm đến 20 năm, tù chung thân hoặc tử hình:",m,Thuê giết người hoặc giết người thuê;
Phần thứ hai - CÁC TỘI PHẠM,"Chương XIV - CÁC TỘI XÂM PHẠM TÍNH MẠNG, SỨC KHỎE, NHÂN PHẨM,",123,Tội giết người,,1,"Người nào giết người thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 12 năm đến 20 năm, tù chung thân hoặc tử hình:",n,Có tính chất côn đồ;
Phần thứ hai - CÁC TỘI PHẠM,"Chương XIV - CÁC TỘI XÂM PHẠM TÍNH MẠNG, SỨC KHỎE, NHÂN PHẨM,",123,Tội giết người,,1,"Người nào giết người thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 12 năm đến 20 năm, tù chung thân hoặc tử hình:",o,Có tổ chức;
